,Protein Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number,Entry,Entry Name,Protein names,Gene Symbol,Uniprot ID
23,NP_060198,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,A0A024R8L3,A0A024R8L3_HUMAN,"Transmembrane protein 104, isoform CRA_a",TMEM104,A0A024R8L3
24,NP_861439,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q495N2,S36A3_HUMAN,Proton-coupled amino acid transporter 3 (Proton/amino acid transporter 3) (Solute carrier family 36 member 3) (Tramdorin-2),SLC36A3,Q495N2
25,NP_861441,amino acid,,AAAP,The Amino Acid/Auxin Permease (AAAP) Family,Secondary Transporter,2.A.18,Q495M3,S36A2_HUMAN,Proton-coupled amino acid transporter 2 (Proton/amino acid transporter 2) (Solute carrier family 36 member 2) (Transmembrane domain rich protein 1) (Tramdorin-1),SLC36A2,Q495M3
26,NP_000333,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,P02730,B3AT_HUMAN,Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233),SLC4A1,P02730
27,NP_003750,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q9Y6R1,S4A4_HUMAN,Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1),SLC4A4,Q9Y6R1
28,NP_001091954,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q9Y6R1,S4A4_HUMAN,Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1),SLC4A4,Q9Y6R1
29,NP_071341,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q6U841,S4A10_HUMAN,Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10),SLC4A10,Q6U841
30,NP_114423,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q8NBS3,S4A11_HUMAN,Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1),SLC4A11,Q8NBS3
31,NP_597812,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q9BY07,S4A5_HUMAN,Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5),SLC4A5,Q9BY07
32,NP_067019,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q9BY07,S4A5_HUMAN,Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5),SLC4A5,Q9BY07
33,NP_003606,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q9Y6M7,S4A7_HUMAN,Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7),SLC4A7,Q9Y6M7
34,NP_003031,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,P04920,B3A2_HUMAN,Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2),SLC4A2,P04920
35,NP_113655,anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q96Q91,B3A4_HUMAN,Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Sodium bicarbonate cotransporter 5) (Solute carrier family 4 member 9),SLC4A9,Q96Q91
36,NP_001035049,sodium ion/bicarbonate anion symporter,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,Q2Y0W8,S4A8_HUMAN,Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na(+)-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3),SLC4A8,Q2Y0W8
37,NP_005061,chloride/bicarbonate anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,P48751,B3A3_HUMAN,Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3),SLC4A3,P48751
38,NP_963868,chloride/bicarbonate anion exchange,,AE,The Anion Exchanger (AE) Family,Secondary Transporter,2.A.31,P48751,B3A3_HUMAN,Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3),SLC4A3,P48751
39,NP_003036,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,P30825,CTR1_HUMAN,High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter),SLC7A1,P30825
40,NP_003036,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,A0A024RDQ9,A0A024RDQ9_HUMAN,"Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 1, isoform CRA_a",SLC7A1,A0A024RDQ9
41,NP_003037,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,P52569,CTR2_HUMAN,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),SLC7A2,P52569
42,NP_001008539,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,P52569,CTR2_HUMAN,Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),SLC7A2,P52569
43,NP_004164,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,O43246,CTR4_HUMAN,Cationic amino acid transporter 4 (CAT-4) (CAT4) (Solute carrier family 7 member 4),SLC7A4,O43246
44,NP_036376,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q9UHI5,LAT2_HUMAN,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2) (Solute carrier family 7 member 8),SLC7A8,Q9UHI5
45,NP_877392,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q9UHI5,LAT2_HUMAN,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2) (Solute carrier family 7 member 8),SLC7A8,Q9UHI5
46,NP_036376,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q53EM9,Q53EM9_HUMAN,"Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 8 isoform a variant",SLC7A8,Q53EM9
47,NP_055085,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,P82251,BAT1_HUMAN,"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)",SLC7A9,P82251
48,NP_055146,cystine/glutamate,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q9UPY5,XCT_HUMAN,Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT),SLC7A11,Q9UPY5
49,NP_062823,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q9NS82,AAA1_HUMAN,Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10),SLC7A10,Q9NS82
50,NP_066000,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q8TBB6,S7A14_HUMAN,Probable cationic amino acid transporter (Solute carrier family 7 member 14),SLC7A14,Q8TBB6
51,NP_003477,large neutral amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q01650,LAT1_HUMAN,Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter),SLC7A5,Q01650
52,NP_620172,amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q8TCU3,S7A13_HUMAN,Solute carrier family 7 member 13 (Sodium-independent aspartate/glutamate transporter 1) (X-amino acid transporter 2),SLC7A13,Q8TCU3
53,NP_003974,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q92536,YLAT2_HUMAN,"Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)",SLC7A6,Q92536
54,NP_001070253,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q92536,YLAT2_HUMAN,"Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)",SLC7A6,Q92536
55,NP_003974,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,A0A024R719,A0A024R719_HUMAN,"Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 6, isoform CRA_a",SLC7A6,A0A024R719
56,NP_001070253,cationic amino acid,,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,A0A024R719,A0A024R719_HUMAN,"Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 6, isoform CRA_a",SLC7A6,A0A024R719
57,NP_116192,cationic amino acid transporter 3 (CAT-3),,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q8WY07,CTR3_HUMAN,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),SLC7A3,Q8WY07
58,NP_001041629,cationic amino acid transporter 3 (CAT-3),,APC,The Amino Acid-Polyamine-Organocation (APC) Family,Secondary Transporter,2.A.3,Q8WY07,CTR3_HUMAN,Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3),SLC7A3,Q8WY07
59,NP_000266,P-protein homolog (tyrosine transporter),,ArsB,The Arsenite-Antimonite (ArsB) Efflux Family,Secondary Transporter,2.A.45,Q04671,P_HUMAN,P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog),OCA2,Q04671
60,NP_003040,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q14973,NTCP_HUMAN,Hepatic sodium/bile acid cotransporter (Cell growth-inhibiting gene 29 protein) (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (NTCP) (Solute carrier family 10 member 1) (SLC10A1),SLC10A1,Q14973
61,NP_003040,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,B2RA41,B2RA41_HUMAN,"cDNA, FLJ94688, highly similar to Homo sapiens solute carrier family 10 (sodium/bile acid cotransporter family), member 1 (SLC10A1), mRNA",SLC10A1,B2RA41
62,NP_000443,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q12908,NTCP2_HUMAN,"Ileal sodium/bile acid cotransporter (Apical sodium-dependent bile acid transporter) (ASBT) (Ileal Na(+)/bile acid cotransporter) (Ileal sodium-dependent bile acid transporter) (IBAT) (ISBT) (Na(+)-dependent ileal bile acid transporter) (Sodium/taurocholate cotransporting polypeptide, ileal) (Solute carrier family 10 member 2)",SLC10A2,Q12908
63,NP_062822,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,P09131,P3_HUMAN,P3 protein (Solute carrier family 10 member 3),SLC10A3,P09131
64,NP_689892,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q96EP9,NTCP4_HUMAN,Sodium/bile acid cotransporter 4 (Na(+)/bile acid cotransporter 4) (Solute carrier family 10 member 4),SLC10A4,Q96EP9
65,NP_001010893,sodium ion:bile acid symporter 5,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q5PT55,NTCP5_HUMAN,Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5),SLC10A5,Q5PT55
66,NP_001025169,sodium ion:bile acid symporter 7,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q0GE19,NTCP7_HUMAN,Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7),SLC10A7,Q0GE19
67,NP_115504,sodium ion:bile acid symporter 7,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q0GE19,NTCP7_HUMAN,Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7),SLC10A7,Q0GE19
68,NP_932069,sodium ion:bile acid symporter,,BASS,The Bile Acid:Na+ Symporter (BASS) Family,Secondary Transporter,2.A.28,Q3KNW5,SOAT_HUMAN,Sodium-dependent organic anion transporter (SOAT) (Solute carrier family 10 member 6) (SLC10A6),SLC10A6,Q3KNW5
69,NP_004718,sodium ion:calcium ion+potassium ion antiporter 1,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,O60721,NCKX1_HUMAN,Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1),SLC24A1,O60721
70,NP_065077,sodium ion:calcium ion+potassium ion antiporter 1,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q9UI40,NCKX2_HUMAN,Sodium/potassium/calcium exchanger 2 (Na(+)/K(+)/Ca(2+)-exchange protein 2) (Retinal cone Na-Ca+K exchanger) (Solute carrier family 24 member 2),SLC24A2,Q9UI40
71,NP_066920,sodium:calcium ion antiporter 1,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P32418,NAC1_HUMAN,Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1),SLC8A1,P32418
72,NP_079235,sodium ion:calcium ion+potassium ion antiporter 6,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q6J4K2,NCLX_HUMAN,"Mitochondrial sodium/calcium exchanger protein (Na(+)/K(+)/Ca(2+)-exchange protein 6) (Sodium/calcium exchanger protein, mitochondrial) (Sodium/potassium/calcium exchanger 6) (Solute carrier family 24 member 6) (Solute carrier family 8 member B1)",SLC8B1,Q6J4K2
73,NP_055878,sodium:calcium ion antiporter 2,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q9UPR5,NAC2_HUMAN,Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2),SLC8A2,Q9UPR5
74,NP_065740,sodium ion:calcium ion+potassium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q9HC58,NCKX3_HUMAN,Sodium/potassium/calcium exchanger 3 (Na(+)/K(+)/Ca(2+)-exchange protein 3) (Solute carrier family 24 member 3),SLC24A3,Q9HC58
75,NP_705932,sodium ion:calcium ion+potassium ion antiporter 4,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q8NFF2,NCKX4_HUMAN,Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4),SLC24A4,Q8NFF2
76,NP_705933,sodium ion:calcium ion+potassium ion antiporter 4,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q8NFF2,NCKX4_HUMAN,Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4),SLC24A4,Q8NFF2
77,NP_705934,sodium ion:calcium ion+potassium ion antiporter 4,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q8NFF2,NCKX4_HUMAN,Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4),SLC24A4,Q8NFF2
78,NP_891977,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P57103,NAC3_HUMAN,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3,P57103
79,NP_891981,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P57103,NAC3_HUMAN,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3,P57103
80,NP_489479,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P57103,NAC3_HUMAN,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3,P57103
81,NP_892114,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P57103,NAC3_HUMAN,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3,P57103
82,NP_150287,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,P57103,NAC3_HUMAN,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),SLC8A3,P57103
83,NP_891981,sodium ion:calcium ion antiporter 3,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,B3KU59,B3KU59_HUMAN,"cDNA FLJ39234 fis, clone OCBBF2007762, highly similar to SODIUM/CALCIUM EXCHANGER 3",SLC8A3,B3KU59
84,NP_995322,sodium ion:calcium ion+potassium ion antiporter 5,,CaCA,The Ca2+:Cation Antiporter (CaCA) Family,Secondary Transporter,2.A.19,Q71RS6,NCKX5_HUMAN,Sodium/potassium/calcium exchanger 5 (Na(+)/K(+)/Ca(2+)-exchange protein 5) (Solute carrier family 24 member 5),SLC24A5,Q71RS6
85,NP_001037,sodium ion+potassium ion:chloride ion symporter,,CCC,The Cation-Chloride Cotransporter (CCC) Family,Secondary Transporter,2.A.30,P55011,S12A2_HUMAN,Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2),SLC12A2,P55011
86,NP_001037,sodium ion+potassium ion:chloride ion symporter,,CCC,The Cation-Chloride Cotransporter (CCC) Family,Secondary Transporter,2.A.30,Q53ZR1,Q53ZR1_HUMAN,"Bumetanide-sensitive Na-K-Cl cotransporter (Solute carrier family 12 (Sodium/potassium/chloride transporters), member 2, isoform CRA_b)",SLC12A2,Q53ZR1
87,NP_000330,sodium ion+potassium ion:chloride ion symporter,,CCC,The Cation-Chloride Cotransporter (CCC) Family,Secondary Transporter,2.A.30,P55017,S12A3_HUMAN,Solute carrier family 12 member 3 (Na-Cl cotransporter) (NCC) (Na-Cl symporter) (Thiazide-sensitive sodium-chloride cotransporter),SLC12A3,P55017
88,NP_000329,sodium ion+potassium ion:chloride ion symporter,,CCC,The Cation-Chloride Cotransporter (CCC) Family,Secondary Transporter,2.A.30,Q13621,S12A1_HUMAN,Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (Kidney-specific Na-K-Cl symporter),SLC12A1,Q13621
